,"	Regional Hospital ",Facility_Name,"	Distance to Reg Hosp ",Maina...Facility.name,Fac.NAME,Admin1,Facility.name,Facility.type,Ownership,LL.source,Lat,Long,FacLong,FacLat,Source,geometry...longitude,geometry.latitude,UnitId,UnitType,UnitTypeName,TypeMainaOverGhana,FacilitySwitch,MainaSwitch,NewFacilityTypes,UnitTypeNaFac,LvlId,Region,CODE,NAME,COMMENT,CODE_1,NAME_1,NEAR_FID,NEAR_DIST,Facility_Name,Longitude,Latitude,geometry,Region,District,Town,facilityID,Xpert,dummy
242,Ridge Hospital,Pantang Hospital,0.153103,Pantang Hospital,Pantang Hospital,Greater Accra,Pantang Hospital,Hospital,MoH,GPS,5.71511,-0.18802,-0.18802,5.71511,both,c(-0.188020000368745,5.71510999969557),GHH00796,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,Hospital,Hospital,Hospital and Teaching Hospital,GHP005006000000000000,GHP005,796,Pantang Hospital,Pantang,60,Ga East,-1,-1,Pantang Hospital,-0.18802,5.71511,c(-0.188020000368745  5.71510999969557),GREATER ACCRA,LA-NKWANTANANG-MADINA,,644,no,0
245,Ridge Hospital,Princess Marie Louis (PML) Hospital,0.0228295,Princess Marie Louis (PML) Hospital,PML Hospital,Greater Accra,Princess Marie Louis (PML) Hospital,Hospital,MoH,GPS,5.5446,-0.21302,-0.21302,5.5446,both,c(-0.213019999741429,5.54460000021341),GHH00781,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,Hospital,Hospital,Hospital and Teaching Hospital,GHP000000000000000000,GHP000,781,PML Hospital,Paladium,2,Accra,-1,-1,Princess Marie Louis (PML) Hospital,-0.21302,5.5446,c(-0.213019999741429  5.54460000021341),GREATER ACCRA,ACCRA METROPOLIS,,64,no,0
247,Ridge Hospital,Port Medical Centre,0.215474,NA,Port Medical Centre,NA,NA,NA,NA,NA,NA,NA,0.00126,5.64266,fac,c(0.0012600003737119,5.64266000004866),GHH01027,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP005003000000000000,GHP005,1027,Port Medical Centre,Tema Community 1,124,Tema,-1,-1,Port Medical Centre,0.00126,5.64266,c(0.0012600003737119  5.64266000004866),GREATER ACCRA,TEMA METROPOLITAN,,533,no,0
252,Ridge Hospital,Queen's Medical Centre,0.0160392,NA,Queen's Medical Centre,NA,NA,NA,NA,NA,NA,NA,-0.20762,5.57571,fac,c(-0.207620000193138,5.57570999956517),GHH00869,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP000000000000000000,GHP000,869,Queen's Medical Centre,Kokomlemle,2,Accra,-1,-1,Queen's Medical Centre,-0.20762,5.57571,c(-0.207620000193138  5.57570999956517),GREATER ACCRA,ACCRA METROPOLIS,,24,no,0
269,Ridge Hospital,Sape Agbo Memorial Hospital,0.0313631,NA,Sape Agbo Memorial Hospital,NA,NA,NA,NA,NA,NA,NA,-0.20804,5.59232,fac,c(-0.208040000317709,5.59232000014525),GHH00846,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP000000000000000000,GHP000,846,Sape Agbo Memorial Hospital,New Town,2,Accra,-1,-1,Sape Agbo Memorial Hospital,-0.20804,5.59232,c(-0.208040000317709  5.59232000014525),GREATER ACCRA,ACCRA METROPOLIS,,52,no,0
286,REGIONAL HOSPITA KOFORIDUA,St Josephs Hospital,0.0236503,St Josephs Hospital,ST JOSEPHS HOSP,Eastern,St Josephs Hospital,Hospital,FBO,GPS,6.11547,-0.24288,-0.24288,6.11547,both,c(-0.242879999785562,6.1154699997531),GHH02312,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP004010000000000000,GHP004,2312,ST JOSEPHS HOSP,KOFORIDUA,95,New Juaben,-1,-1,St Josephs Hospital,-0.24288,6.11547,c(-0.242879999785562  6.1154699997531),EASTERN,NEW JUABEN SOUTH MUNICIPAL,,2661,no,0
288,REGIONAL HOSPITA KOFORIDUA,St Martins Hospital,0.247271,St Martins Hospital,ST MARTINS HOSPITAL,Eastern,St Martins Hospital,Hospital,FBO,GPS,6.14498,-1.47E-02,-0.01469,6.14498,both,c(-0.0146899998225646,6.14497999959621),GHH02275,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,Hospital,Hospital,Hospital and Teaching Hospital,GHP004001000000000000,GHP004,2275,ST MARTINS HOSPITAL,AGORMANYA,89,Manya Krobo,-1,-1,St Martins Hospital,-0.01469,6.14498,c(-0.0146899998225646  6.14497999959621),EASTERN,LOWER MANYA KROBO,,1324,no,0
290,Ridge Hospital,St Mathew's Clinic,0.0819791,NA,St Mathew's Clinic,NA,NA,NA,NA,NA,NA,NA,-0.24057,5.63286,fac,c(-0.240569999998771,5.63286000033677),GHH00917,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP005005000000000000,GHP005,917,St Mathew's Clinic,New Achimota (mile 7),2,Accra,-1,-1,St Mathew's Clinic,-0.24057,5.63286,c(-0.240569999998771  5.63286000033677),GREATER ACCRA,GA EAST,,14,no,0
291,Ridge Hospital,St Nicholas Hospital,0.20438,NA,St Nicholas Hospital,NA,NA,NA,NA,NA,NA,NA,-0.01317,5.64811,fac,c(-0.0131700000561702,5.64810999963555),GHH01018,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP005003000000000000,GHP005,1018,St Nicholas Hospital,Tema Community 5,124,Tema,-1,-1,St Nicholas Hospital,-0.01317,5.64811,c(-0.0131700000561702  5.64810999963555),GREATER ACCRA,TEMA METROPOLITAN,,538,no,0
293,REGIONAL HOSPITA KOFORIDUA,St. Dominic Hospital,0.542941,St. Dominic Hospital,St. Dominic Hospital,Eastern,St. Dominic Hospital,Hospital,FBO,GPS,6.04714,-0.79787,-0.79787,6.04714,both,c(-0.79786999982725,6.04713999962381),GHH02261,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP004012000000000000,GHP004,2261,St. Dominic Hospital,Akwatia,85,Kwaebibirim,-1,-1,St. Dominic Hospital,-0.79787,6.04714,c(-0.79786999982725  6.04713999962381),EASTERN,DENKYEMBOUR,Akwatia,415,no,0
311,REGIONAL HOSPITA KOFORIDUA,Suhum Government District Hospital,0.197372,Suhum Government District Hospital,SUHUM GOVT HOSP,Eastern,Suhum Government District Hospital,District Hospital,MoH,GPS,6.0373,-0.44543,-0.44543,6.0373,both,c(-0.445430000143314,6.03730000034105),GHH02324,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP004003000000000000,GHP004,2324,SUHUM GOVT HOSP,SUHUM,116,Suhum-Kraboa-Coaltar,-1,-1,Suhum Government District Hospital,-0.44543,6.0373,c(-0.445430000143314  6.03730000034105),EASTERN,SUHUM MUNICIPAL,Ayekotse,1376,no,0
318,REGIONAL HOSPITA KOFORIDUA,Tafo Governmentt Hospital,0.173509,Tafo Governmentt Hospital,TAFO GOVT HOSP,Eastern,Tafo Governmentt Hospital,Hospital,MoH,GPS,6.23163,-0.3662,-0.3662,6.23163,both,c(-0.366199999744024,6.23163000003088),GHH02240,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,Hospital,Hospital,Hospital and Teaching Hospital,GHP004013000000000000,GHP004,2240,TAFO GOVT HOSP,TQFO,54,East Akim,-1,-1,Tafo Governmentt Hospital,-0.3662,6.23163,c(-0.366199999744024  6.23163000003088),EASTERN,ABUAKWA SOUTH MUNICIPAL,,1403,no,0
325,Ridge Hospital,Tema General Hospital,0.206436,Tema General Hospital,NA,Greater Accra,Tema General Hospital,General Hospital,MoH,GPS,5.67387,-2.50E-02,NA,NA,maina,c(NA,NA),NA,NA,Hospital and Teaching Hospital,General Hospital,NA,Hospital,District Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tema General Hospital,-0.02496,5.67387,c(-0.02496 5.67387),GREATER ACCRA,TEMA METROPOLITAN,Tema,2701,no,0
326,Ridge Hospital,Tema Polyclinic,0.205501,Tema Polyclinic,Tema Polyclinic,Greater Accra,Tema Polyclinic,Polyclinic,MoH,GPS,5.63556,-6.67E-03,-0.00667,5.63556,both,c(-0.006669999967725,5.63556000029487),GHH00999,3,Clinic,Clinic,Clinic,Hospital,District Hospital,Clinic,GHP005003000000000000,GHP005,999,Tema Polyclinic,Tema Community 2,124,Tema,-1,-1,Tema Polyclinic,-0.00667,5.63556,c(-0.006669999967725  5.63556000029487),GREATER ACCRA,TEMA WEST MUNICIPAL,Tema,562,no,0
327,REGIONAL HOSPITA KOFORIDUA,Tetteh Quarshie Memorial District Hospital,0.214487,Tetteh Quarshie Memorial District Hospital,NA,Eastern,Tetteh Quarshie Memorial District Hospital,District Hospital,MoH,GPS,5.92163,-0.13319,NA,NA,maina,c(NA,NA),NA,NA,Hospital and Teaching Hospital,District Hospital,NA,Hospital,District Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tetteh Quarshie Memorial District Hospital,-0.13319,5.92163,c(-0.13319 5.92163),EASTERN,AKWAPEM NORTH,Mampong(Akwapim),2689,no,0
328,Ridge Hospital,The Rock Hospital,0.0678233,NA,The Rock Hospital,NA,NA,NA,NA,NA,NA,NA,-0.2627,5.58483,fac,c(-0.26269999971798,5.58483000031509),GHH00948,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP000000000000000000,GHP000,948,The Rock Hospital,Odorkor,2,Accra,-1,-1,The Rock Hospital,-0.2627,5.58483,c(-0.26269999971798  5.58483000031509),GREATER ACCRA,ABLEKUMA NORTH MUNICIPAL,Odorkor,18,no,0
340,Ridge Hospital,Valco Hospital,0.256523,NA,Valco Hospital,NA,NA,NA,NA,NA,NA,NA,0.03468,5.66886,fac,c(0.0346799996342955,5.66885999989116),GHH01041,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP005003000000000000,GHP005,1041,Valco Hospital,Tema Heavy Industrial Town,124,Tema,-1,-1,Valco Hospital,0.03468,5.66886,c(0.0346799996342955  5.66885999989116),GREATER ACCRA,KPONE KATAMANSO,,532,no,0
341,Ridge Hospital,Vicon Specialist Hospital / Mat hom,0.068828,NA,Vicon Specialist Hospital / Mat hom,NA,NA,NA,NA,NA,NA,NA,-0.26671,5.5518,fac,c(-0.266710000094565,5.55179999964439),GHH00951,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP000000000000000000,GHP000,951,Vicon Specialist Hospital / Mat hom,Dansoman (Sahara),2,Accra,-1,-1,Vicon Specialist Hospital / Mat hom,-0.26671,5.5518,c(-0.266710000094565  5.55179999964439),GREATER ACCRA,ACCRA METROPOLIS,,40,no,0
342,REGIONAL HOSPITA KOFORIDUA,VRA HOSPITAL,0.259971,NA,VRA HOSPITAL,NA,NA,NA,NA,NA,NA,NA,-0.05838,6.26415,fac,c(-0.0583800002469402,6.26415000032891),GHH02203,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP004004000000000000,GHP004,2203,VRA HOSPITAL,AKOSOMBO,89,Manya Krobo,-1,-1,VRA HOSPITAL,-0.05838,6.26415,c(-0.0583800002469402  6.26415000032891),EASTERN,UPPER MANYA KROBO,,1323,no,0
13,Kumasi South Government Regional Hospital,Adom Hospital,0.394156,NA,Adom Hospital,NA,NA,NA,NA,NA,NA,NA,-1.192,6.61879,fac,c(-1.1919999997702,6.61878999993711),GHH00302,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP011017000000000000,GHP011,302,Adom Hospital,Akratebesa,22,Asante-Akim North,-1,-1,Adom Hospital,-1.192,6.61879,c(-1.1919999997702  6.61878999993711),ASHANTI,ASANTE AKIM CENTRAL MUNICIPAL,,1447,no,0
16,Kumasi South Government Regional Hospital,Agogo Presby Hospital,0.519671,Agogo Presby Hospital,Agogo Presby Hosp.,Ashanti,Agogo Presby Hospital,Hospital,FBO,GPS,6.79618,-1.08529,-1.08529,6.79618,both,c(-1.08529000033208,6.79617999985551),GHH00297,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,Hospital,Hospital,Hospital and Teaching Hospital,GHP011017000000000000,GHP011,297,Agogo Presby Hosp.,Agogo,22,Asante-Akim North,-1,-1,Agogo Presby Hospital,-1.08529,6.79618,c(-1.08529000033208  6.79617999985551),ASHANTI,ASANTE AKIM NORTH,Agogo,1449,no,0
18,Kumasi South Government Regional Hospital,Asokore Ahmadyya Muslem Hospital,0.278569,Asokore Ahmadyya Muslem Hospital,Ahmadiya Muslim Hosp.,Ashanti,Asokore Ahmadyya Muslem Hospital,Hospital,FBO,Other,6.84361,-1.381201,-1.38366,6.84534,both,c(-1.38365999972134,6.84534000016705),GHH00286,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP011003000000000000,GHP011,286,Ahmadiya Muslim Hosp.,Effiduase,108,Sekyere East,-1,-1,Asokore Ahmadyya Muslem Hospital,-1.38366,6.84534,c(-1.38365999972134  6.84534000016705),ASHANTI,SEKYERE EAST,,1554,no,0
23,Kumasi South Government Regional Hospital,Ahmadiyya Mission Hospital,0.150646,Ahmadiyya Mission Hospital,Ahmadyaa Mission Hosp.,Western,Ahmadiyya Mission Hospital,Hospital,FBO,GPS,5.13012,-1.65779,-1.53649,6.5098,both,c(-1.53648999991955,6.50980000021399),GHH00405,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,Hospital,Hospital,Hospital and Teaching Hospital,GHP011002000000000000,GHP011,405,Ahmadyaa Mission Hosp.,Kokofu,17,Amansie East,-1,-1,Ahmadiyya Mission Hospital,-1.53649,6.5098,c(-1.53648999991955  6.50980000021399),ASHANTI,BEKWAI MUNICIPAL,,1598,no,0
24,Kumasi South Government Regional Hospital,Ahwene Memoral Hosp.,0.198106,NA,Ahwene Memoral Hosp.,NA,NA,NA,NA,NA,NA,NA,-1.57071,6.45491,fac,c(-1.57071000014462,6.45491000008271),GHH00417,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP011002000000000000,GHP011,417,Ahwene Memoral Hosp.,Bekwai,17,Amansie East,-1,-1,Ahwene Memoral Hosp.,-1.57071,6.45491,c(-1.57071000014462  6.45491000008271),ASHANTI,BEKWAI MUNICIPAL,,1595,no,0
28,Kumasi South Government Regional Hospital,Akomaa Memorial Hospital,0.217905,Akomaa Memorial Hospital,Akooma Memorial Hosp.,Ashanti,Akomaa Memorial Hospital,Hospital,FBO,GPS,6.43966,-1.53837,-1.53837,6.4396,both,c(-1.53837000043434,6.43960000021885),GHH00410,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,Hospital,Hospital,Hospital and Teaching Hospital,GHP011002000000000000,GHP011,410,Akooma Memorial Hosp.,korjwia,17,Amansie East,-1,-1,Akomaa Memorial Hospital,-1.53837,6.4396,c(-1.53837000043434  6.43960000021885),ASHANTI,BEKWAI MUNICIPAL,,1596,no,0
35,Kumasi South Government Regional Hospital,ANGLOGOLD ASHANTI HOSP.(AGA),0.463507,NA,ANGLOGOLD ASHANTI HOSP.(AGA),NA,NA,NA,NA,NA,NA,NA,-1.66061,6.19527,fac,c(-1.66060999994413,6.19527000008746),GHH00446,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP011014000000000000,GHP011,446,ANGLOGOLD ASHANTI HOSP.(AGA),WAWASE,4,Adansi North,-1,-1,ANGLOGOLD ASHANTI HOSP.(AGA),-1.66061,6.19527,c(-1.66060999994413  6.19527000008746),ASHANTI,OBUASI MUNICIPAL,,1668,no,0
43,Kumasi South Government Regional Hospital,Asonomaso Government District Hospital,0.165129,Asonomaso Government District Hospital,NA,Ashanti,Asonomaso Government District Hospital,District Hospital,MoH,GPS,6.80162,-1.51374,NA,NA,maina,c(NA,NA),NA,NA,Hospital and Teaching Hospital,District Hospital,NA,Hospital,District Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Asonomaso Government District Hospital,-1.51374,6.80162,c(-1.51374 6.80162),ASHANTI,KWABRE EAST,Asonomaso,2385,no,0
45,Kumasi South Government Regional Hospital,Atebubu Government District Hospital,1.25041,Atebubu Government District Hospital,Atebubu Gov't Hospital,Brong Ahafo,Atebubu Government District Hospital,District Hospital,MoH,GPS,7.74807,-0.98197,-0.98197,7.74807,both,c(-0.981970000231143,7.7480700000083),GHH00137,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP002001000000000000,GHP002,137,Atebubu Gov't Hospital,atebubu,31,Atebubu-Amanten,-1,-1,Atebubu Government District Hospital,-0.98197,7.74807,c(-0.981970000231143  7.7480700000083),BONO EAST,ATEBUBU AMANTIN,Atebubu,1845,no,0
56,Kumasi South Government Regional Hospital,Bekwai Government District Hospital,0.196566,Bekwai Government District Hospital,NA,Ashanti,Bekwai Government District Hospital,District Hospital,MoH,GPS,6.45605,-1.57857,NA,NA,maina,c(NA,NA),NA,NA,Hospital and Teaching Hospital,District Hospital,NA,Hospital,District Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bekwai Government District Hospital,-1.57857,6.45605,c(-1.57857 6.45605),ASHANTI,BEKWAI MUNICIPAL,,1597,no,0
60,Kumasi South Government Regional Hospital,Bibiani Government District Hospital,0.763249,Bibiani Government District Hospital,BIBIANI  GOV'T  HOSPITAL,Western,Bibiani Government District Hospital,District Hospital,MoH,GPS,6.45658,-2.32238,-2.32238,6.45658,both,c(-2.32237999974415,6.45658000019714),GHH01841,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP010003000000000000,GHP010,1841,BIBIANI  GOV'T  HOSPITAL,BIBIANI,40,Bibiani-Anhwiaso-Bekwai,-1,-1,Bibiani Government District Hospital,-2.32238,6.45658,c(-2.32237999974415  6.45658000019714),WESTERN NORTH,BIBIANI-ANHWIASO-BEKWAI MUNICIPAL,Bibiani,962,no,0
69,Kumasi South Government Regional Hospital,Bryant Mission Hospital,0.464777,NA,Bryant Mission Hospital,NA,NA,NA,NA,NA,NA,NA,-1.64591,6.19179,fac,c(-1.64591000007584,6.19178999964289),GHH00434,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP011014000000000000,GHP011,434,Bryant Mission Hospital,Boete,4,Adansi North,-1,-1,Bryant Mission Hospital,-1.64591,6.19179,c(-1.64591000007584  6.19178999964289),ASHANTI,OBUASI MUNICIPAL,,1670,no,0
88,Kumasi South Government Regional Hospital,Dunkwa District Hospital,0.715645,Dunkwa District Hospital,District Hospital,Central,Dunkwa District Hospital,District Hospital,MoH,GPS,5.96243,-1.77927,-1.77627,5.96299,both,c(-1.77626999989789,5.96299000026459),GHH00626,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP003003000000000000,GHP003,626,District Hospital,Dunkwa on Offin,101,Obuasi,-1,-1,Dunkwa District Hospital,-1.77627,5.96299,c(-1.77626999989789  5.96299000026459),CENTRAL,UPPER DENKYIRA EAST MUNICIPAL,Dunkwa,1662,no,0
89,Kumasi South Government Regional Hospital,Divine Love Hospital,0.758186,Divine Love Hospital,NA,Western,Divine Love Hospital,Hospital,MoH,Combination,6.455983,-2.31698,NA,NA,maina,c(NA,NA),NA,NA,Hospital and Teaching Hospital,Hospital and Teaching Hospital,NA,Hospital,Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Divine Love Hospital,-2.31698,6.455983,c(-2.31698 6.455983),WESTERN NORTH,BIBIANI-ANHWIASO-BEKWAI MUNICIPAL,,3008,no,0
92,Kumasi South Government Regional Hospital,Dominase SDA Hospital,0.393104,Dominase SDA Hospital,NA,Ashanti,Dominase SDA Hospital,Hospital,FBO,GPS,6.3104,-1.3911,NA,NA,maina,c(NA,NA),NA,NA,Hospital and Teaching Hospital,Hospital and Teaching Hospital,NA,Hospital,Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dominase SDA Hospital,-1.3911,6.3104,c(-1.3911 6.3104),ASHANTI,BOSOME FREHO,,2404,no,0
97,Kumasi South Government Regional Hospital,Effiduase District Hospital,0.272872,Effiduase District Hospital,Effiduase Dist. Hosp.,Ashanti,Effiduase District Hospital,District Hospital,MoH,GPS,6.84739,-1.39373,-1.3937,6.84739,both,c(-1.39369999983305,6.847390000271),GHH00290,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,Hospital,Hospital and Teaching Hospital,GHP011003000000000000,GHP011,290,Effiduase Dist. Hosp.,Okuase,108,Sekyere East,-1,-1,Effiduase District Hospital,-1.3937,6.84739,c(-1.39369999983305  6.847390000271),ASHANTI,SEKYERE EAST,Effiduase,1553,no,0
99,Kumasi South Government Regional Hospital,Ejura District Hospital,0.77238,Ejura District Hospital,Ejura Dist. Hosp,Ashanti,Ejura District Hospital,District Hospital,MoH,GPS,7.38906,-1.35197,-1.35197,7.389,both,c(-1.35197000028942,7.38899999969324),GHH00278,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP011016000000000000,GHP011,278,Ejura Dist. Hosp,Ejura,58,Ejura-Sekodumasi,-1,-1,Ejura District Hospital,-1.35197,7.389,c(-1.35197000028942  7.38899999969324),ASHANTI,EJURA-SEKYEDUMASE,Ejura,1511,no,0
105,Kumasi South Government Regional Hospital,Essum Ejaman S.D.A Hosp,0.151208,NA,Essum Ejaman S.D.A Hosp,NA,NA,NA,NA,NA,NA,NA,-1.65262,6.51742,fac,c(-1.65262000022656,6.51741999993686),GHH00403,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP011002000000000000,GHP011,403,Essum Ejaman S.D.A Hosp,Dominase,18,Amansie West,-1,-1,Essum Ejaman S.D.A Hosp,-1.65262,6.51742,c(-1.65262000022656  6.51741999993686),ASHANTI,BEKWAI MUNICIPAL,,1636,no,0
106,Kumasi South Government Regional Hospital,Evrest Hosp.,0.165487,NA,Evrest Hosp.,NA,NA,NA,NA,NA,NA,NA,-1.68298,6.78567,fac,c(-1.68297999986287,6.78567000026609),GHH00321,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP011012000000000000,GHP011,321,Evrest Hosp.,Achiase,34,Atwima-Nwabiagya,-1,-1,Evrest Hosp.,-1.68298,6.78567,c(-1.68297999986287  6.78567000026609),ASHANTI,ASANTE AKIM NORTH,,1623,no,0
113,Kumasi South Government Regional Hospital,G.B.C HOSPITAL - AWASO,0.800254,NA,G.B.C HOSPITAL - AWASO,NA,NA,NA,NA,NA,NA,NA,-2.28031,6.25686,fac,c(-2.28031000044189,6.25685999970432),GHH01840,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP010003000000000000,GHP010,1840,G.B.C HOSPITAL - AWASO,AWASO,40,Bibiani-Anhwiaso-Bekwai,-1,-1,G.B.C HOSPITAL - AWASO,-2.28031,6.25686,c(-2.28031000044189  6.25685999970432),WESTERN NORTH,BIBIANI-ANHWIASO-BEKWAI MUNICIPAL,,961,no,0
119,Kumasi South Government Regional Hospital,Global Evangelical Mission Hospital,0.0932039,Global Evangelical Mission Hospital,NA,Ashanti,Global Evangelical Mission Hospital,Hospital,FBO,GPS,6.66903,-1.49298,NA,NA,maina,c(NA,NA),NA,NA,Hospital and Teaching Hospital,Hospital and Teaching Hospital,NA,Hospital,Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Global Evangelical Mission Hospital,-1.49298,6.66903,c(-1.49298 6.66903),ASHANTI,EJISU MUNICIPAL,,2414,no,0
149,Kumasi South Government Regional Hospital,Juaben Government District Hospital,0.236435,Juaben Government District Hospital,Juaben Gov. Hospital,Ashanti,Juaben Government District Hospital,District Hospital,MoH,GPS,6.81602,-1.41392,-1.4139,6.816,both,c(-1.41389999970705,6.81599999972822),GHH00238,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP011004000000000000,GHP011,238,Juaben Gov. Hospital,Juaben,57,Ejisu-Juaben,-1,-1,Juaben Government District Hospital,-1.4139,6.816,c(-1.41389999970705  6.81599999972822),ASHANTI,JUABEN MUNICIPAL,,1484,no,0
151,Kumasi South Government Regional Hospital,Juaso District Hospital,0.467484,Juaso District Hospital,Juaso District Hospital,Ashanti,Juaso District Hospital,District Hospital,MoH,GPS,6.59223,-1.12113,-1.12113,6.59223,both,c(-1.12112999988267,6.59223000031017),GHH00369,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP011001000000000000,GHP011,369,Juaso District Hospital,Juaso,23,Asante-Akim South,-1,-1,Juaso District Hospital,-1.12113,6.59223,c(-1.12112999988267  6.59223000031017),ASHANTI,ASANTE AKIM SOUTH,Juaso,1459,no,0
153,Kumasi South Government Regional Hospital,Kade District Hospital,0.702734,Kade District Hospital,NA,Eastern,Kade District Hospital,District Hospital,MoH,GPS,6.27345,-0.992983,NA,NA,maina,c(NA,NA),NA,NA,Hospital and Teaching Hospital,District Hospital,NA,Hospital,Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kade District Hospital,-0.992983,6.27345,c(-0.992983 6.27345),EASTERN,BIRIM NORTH,,2674,no,0
159,Kumasi South Government Regional Hospital,Kokofu General Hospital,0.165603,Kokofu General Hospital,Kokofu Gen. Hosp,Ashanti,Kokofu General Hospital,General Hospital,MoH,GPS,6.49903,-1.52254,-1.52254,6.49903,both,c(-1.5225399998887,6.49902999975327),GHH00401,1,Hospital and Teaching Hospital,General Hospital,Hospital,Hospital,Hospital,Hospital and Teaching Hospital,GHP011002000000000000,GHP011,401,Kokofu Gen. Hosp,Kokofu,17,Amansie East,-1,-1,Kokofu General Hospital,-1.52254,6.49903,c(-1.5225399998887  6.49902999975327),ASHANTI,BEKWAI MUNICIPAL,,1599,no,0
161,Kumasi South Government Regional Hospital,Konongo-Odumasi Government District Hospital,0.367889,Konongo-Odumasi Government District Hospital,Konongo/Odumasi Gov. Hosp,Ashanti,Konongo-Odumasi Government District Hospital,District Hospital,MoH,GPS,6.62436,-1.21792,-1.2179,6.62436,both,c(-1.21789999966649,6.62435999964528),GHH00300,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP011017000000000000,GHP011,300,Konongo/Odumasi Gov. Hosp,Konongo,22,Asante-Akim North,-1,-1,Konongo-Odumasi Government District Hospital,-1.2179,6.62436,c(-1.21789999966649  6.62435999964528),ASHANTI,ASANTE AKIM CENTRAL MUNICIPAL,Konongo,1448,no,0
